GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"iYVv4IDneF","Squash Courts","Kowloon Park Sports Centre","22 Austin Road, Tsim Sha Tsui","壁球場","九龍公園體育館","尖沙咀柯士甸道22號","YAU TSIM MONG","油尖旺","VOLLEYBALL COURTS,NETBALL COURTS,BADMINTON COURTS,HANDBALL COURTS,SQUASH COURTS,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS,TABLE TENNIS TABLES","排球場,投球場,羽毛球場,手球場,壁球場,活動室,健身室,舞蹈室,乒乓球檯","","","","","","","","","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","818101.6","835555.3","22.30186","114.16996","2010-01-13 18:48:56"
"EHRIsWEa6z","Squash Courts","Kwun Chung Sports Centre","5/F - 7/F, 17 Bowring Street, Jordon","壁球場","官涌體育館","佐敦寶靈街17號官涌市政大廈五樓至七樓","YAU TSIM MONG","油尖旺","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","818387.0","835380.0","22.30444","114.16826","2010-01-13 18:39:37"
"mswrFy80b3","Squash Courts","Lai Chi Kok Park Sports Centre","1 Lai Wan Road, Lai Chi Kok, Kowloon","壁球場","荔枝角公園體育館","荔枝角荔灣道1號","SHAM SHUI PO","深水埗","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,DANCE ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,舞蹈室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","822403.0","832285.0","22.3407","114.13821","2010-01-13 18:44:31"
"bbCDTEJM3N","Squash Courts","Lai King Sports Centre","60 Lai Cho Road, Lai King, Kwai Chung","壁球場","荔景體育館","葵涌荔景麗祖路60號","KWAI TSING","葵青","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","","","","","","","","","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","823417.4","831200.1","22.34986","114.12767","2010-01-13 18:47:26"
"pEIqhGVtHw","Squash Courts","Lam Tin South Sports Centre","170 Pik Wan Road, Lam Tin, Kwun Tong","壁球場","藍田(南)體育館","觀塘藍田碧雲道170號","KWUN TONG","觀塘","BASKETBALL COURTS,VOLLEYBALL COURTS,NETBALL COURTS,BADMINTON COURTS,ACTIVITY ROOMS,FITNESS ROOMS,SQUASH COURTS,TABLE TENNIS TABLES,CHILDREN'S PLAY ROOMS","籃球場,排球場,投球場,羽毛球場,活動室,健身室,壁球場,乒乓球檯,兒童遊戲室","","","","","","","","","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","818325.0","842653.0","22.30386","114.23884","2010-01-13 18:46:46"
"50LZ5tO27J","Squash Courts","Lei Yue Mun Sports Centre","2/F to 5/F of Lei Yue Mun Municipal Services Building, Yau Tong, Kowloon","壁球場","鯉魚門體育館","九龍油塘鯉魚門市政大廈二樓至五樓","KWUN TONG","觀塘","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,ACTIVITY ROOMS,FITNESS ROOMS,SPORTS CLIMBING FACILITIES,SANSHOU TRAINING HALL,TABLE TENNIS TABLES,AMERICAN POOL TABLES,SQUASH COURTS,CHILDREN'S PLAY ROOMS","籃球場,排球場,羽毛球場,活動室,健身室,運動攀登設施,散手訓練場,乒乓球檯,美式桌球檯,壁球場,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","817018.0","842637.0","22.29206","114.23868","2010-01-13 18:39:46"
"XxdrxTnbR3","Squash Courts","Leung Tin Sports Centre","4/F, Carpark Building, Tin King Estate, Tuen Mun","壁球場","良田體育館","屯門田景邨停車場四字褸","TUEN MUN","屯門","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","829716.0","814461.0","22.4066","113.96508","2010-01-13 18:42:44"
"RWVzP9IL4W","Squash Courts","Lockhart Road Sports Centre","10/F Lockhart Road Municipal Services Building, 225 Hennessy Road, Wanchai","壁球場","駱克道體育館","灣仔軒尼詩道225號駱克道市政大廈11樓","WAN CHAI","灣仔","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","815468.0","836118.0","22.27808","114.17542","2010-01-13 18:45:03"
"GkGGfEvTGQ","Squash Courts","Long Ping Sports Centre","Unit 202, 2/F, Long Ping Commercial Centre, Long Ping Estate, Yuen Long","壁球場","朗屏體育館","元朗朗屏邨朗屏商場二樓202號","YUEN LONG","元朗","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","834547.0","820449.0","22.4503","114.02319","2018-10-09 16:55:59"
"UcROxefkA9","Squash Courts","Lung Sum Avenue Sports Centre","155 Jockey Club Road, Sheung Shui","壁球場","龍琛路體育館","上水馬會道155號","NORTH","北區","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","840595.0","831491.0","22.50498","114.13045","2010-01-13 18:44:38"
