name,rating,fullname,industry,scale,base,interviewdifficulty,averagesalary
环球资源（global sourse）,3.6,环球资源,互联网,500-999人,深圳,2.9,5056
平安财产保险,3.6,中国平安财产保险股份有限公司,保险,10000人以上,深圳,2.4,7400
深圳宝视佳科技,3.6,深圳市宝视佳科技有限公司,互联网,1000-9999人,深圳,2.1,6400
兴意达,3.6,深圳市兴意达通讯技术有限公司,通信设备,100-499人,深圳,2.7,10270
中国电信,3.6,中国电信集团有限公司,运营商/增值服务,10000人以上,北京,2.6,4000
东软集团,3.5,东软集团股份有限公司,计算机软件,10000人以上,沈阳,2.5,6170
平安银行,3.5,平安银行股份有限公司,银行,1000-9999人,深圳,2.6,10600
赛尔网络,3.5,赛尔网络有限公司,互联网,500-999人,北京,2.3,5393
深圳赛维网络,3.5,深圳市赛维网络科技有限公司,互联网,1000-9999人,深圳,2.4,5346
微盟公司,3.5,上海微盟企业发展有限公司,互联网,1000-9999人,上海,2.5,6400
优信拍,3.5,优信拍（北京）信息科技有限公司,互联网,1000-9999人,北京,2.2,8500
中国农业银行,3.5,中国农业银行股份有限公司,银行,1000-9999人,北京,2.8,5000
租租车,3.5,广州力挚网络科技有限公司,互联网,100-499人,广州,2.6,8000
安徽网新,3.4,安徽网新科技有限公司,互联网,1000-9999人,合肥,2.4,3000
比亚迪(BYD),3.4,比亚迪股份有限公司,汽车生产,10000人以上,深圳,2.2,5372
德邦物流,3.4,德邦物流股份有限公司,物流/仓储,10000人以上,上海,2.8,4000
东方融资网,3.4,上海钱智金融信息服务有限公司,互联网,1000-9999人,上海,2.2,8500
房多多,3.4,深圳市房多多网络科技有限公司,互联网,1000-9999人,深圳,2.5,7400
富士康,3.4,富士康科技集团,原材料及加工/模具,1000-9999人,深圳,2.4,4930
京东尚科信息技术有限公司,3.4,北京京东尚科信息技术有限公司,互联网,1000-9999人,北京,2.9,21100
卷皮网,3.4,深圳卷皮网络科技有限公司,互联网,500-999人,武汉,2.5,5750
丽人丽妆,3.4,上海丽人丽妆化妆品股份有限公司,互联网,1000-9999人,上海,2.5,7500
美味不用等,3.4,美味不用等(上海)信息科技股份有限公司,互联网,100-499人,上海,2.7,8000
上海秦苍信息科技有限公司,3.4,上海秦苍信息科技有限公司,互联网,1000-9999人,上海,2.4,11600
中国联通,3.4,中国联合网络通信集团有限公司,运营商/增值服务,10000人以上,北京,2.5,3495
中国银行,3.4,中国银行股份有限公司,银行,1000-9999人,北京,2.8,5000
中文在线,3.4,北京中文在线数字出版股份有限公司,互联网,500-999人,北京,2.5,8250
5173.com,3.3,上海宝酷网络技术有限公司,互联网,500-999人,上海,2.6,6000
Shopex商派网络,3.3,上海商派网络科技有限公司,互联网,500-999人,上海,2.4,7986
互动百科,3.3,北京互动百科网络技术股份有限公司,互联网,500-999人,北京,2.3,5000
慧聪网,3.3,北京慧聪互联信息技术有限公司,互联网,1000-9999人,北京,2.5,5393
平安普惠信息服务有限公司青岛长江路分公司,3.3,平安普惠信息服务有限公司青岛长江路分公司,银行,10000人以上,深圳,2.3,10600
上海二三四五网络科技有限公司,3.3,上海二三四五网络科技有限公司,互联网,500-999人,上海,2.8,11000
途虎养车网,3.3,上海阑途信息技术有限公司,互联网,500-999人,上海,2.3,6400
土巴兔,3.3,土巴兔(深圳)网络有限公司,互联网,1000-9999人,深圳,2.3,7400
文思海辉,3.3,文思海辉技术有限公司,计算机软件,10000人以上,北京,2.5,7260
58到家,3.2,北京五八信息技术有限公司,互联网,1000-9999人,北京,2.4,6400
多益网络,3.2,广州多益网络股份有限公司,互联网,1000-9999人,广州,2.7,7500
广州棒谷网络科技有限公司,3.2,广州棒谷网络科技有限公司,互联网,1000-9999人,广州,2.3,5300
软通动力,3.2,软通动力信息技术（集团）有限公司,计算机软件,10000人以上,北京,2.4,7986
